id,gene_id,description,developmental_type
25072,ENSG00000228322,RP11-358M14.2,NA
25073,ENSG00000200941,RNU6-694P,NA
25074,ENSG00000106688,SLC1A1,Tchem
25075,ENSG00000106686,SPATA6L,Tdark
25076,ENSG00000225893,RP11-6J24.3,NA
25077,ENSG00000205808,PLPP6,Tbio
25078,ENSG00000273061,CDC37L1-AS1,NA
25079,ENSG00000106993,CDC37L1,Tbio
25080,ENSG00000147853,AK3,Tbio
25081,ENSG00000270639,ECM1P1,NA
25082,ENSG00000220105,RP11-307I14.2,NA
25083,ENSG00000120158,RCL1,Tbio
25084,ENSG00000233186,KLF4P1,NA
25085,ENSG00000199065,MIR101-2,NA
25086,ENSG00000220937,HNRNPA1P41,NA
25087,ENSG00000096968,JAK2,Tclin
25088,ENSG00000234534,CSNK1G2P1,NA
25089,ENSG00000182347,PDSS1P1,NA
25090,ENSG00000227730,MTND6P5,NA
25091,ENSG00000228166,MTND1P11,NA
25092,ENSG00000224083,MTCO1P11,NA
25093,ENSG00000235917,MTCO2P11,NA
25094,ENSG00000228097,MTATP6P11,NA
25095,ENSG00000237711,MTCO3P11,NA
25096,ENSG00000236254,MTND4P14,NA
25097,ENSG00000230225,MTND5P14,NA
25098,ENSG00000236567,TCF3P1,NA
25099,ENSG00000254017,IGHEP2,NA
25100,ENSG00000120210,INSL6,Tdark
25101,ENSG00000237553,RP11-140C18.2,NA
25102,ENSG00000120211,INSL4,Tbio
25103,ENSG00000107014,RLN2,Tbio
25104,ENSG00000214195,HMGN2P31,NA
25105,ENSG00000107018,RLN1,Tbio
25106,ENSG00000272866,RP11-12D24.10,NA
25107,ENSG00000231967,RP11-12D24.6,NA
25108,ENSG00000107020,PLGRKT,Tbio
25109,ENSG00000214190,RNF152P1,NA
25110,ENSG00000120217,CD274,Tclin
25111,ENSG00000197646,PDCD1LG2,Tchem
25112,ENSG00000231509,RP11-574F11.3,NA
25113,ENSG00000107036,RIC1,Tbio
25114,ENSG00000225408,RP11-207C16.4,NA
25115,ENSG00000099219,ERMP1,Tbio
25116,ENSG00000223621,AK4P4,NA
25117,ENSG00000183354,KIAA2026,Tdark
25118,ENSG00000120215,MLANA,Tbio
25119,ENSG00000263575,MIR4665,NA
25120,ENSG00000137040,RANBP6,Tdark
25121,ENSG00000228739,RP11-218I7.2,NA
25122,ENSG00000237274,GTF3AP1,NA
25123,ENSG00000137033,IL33,Tbio
25124,ENSG00000228132,RP11-279E1.1,NA
25125,ENSG00000233846,RP11-307L3.2,NA
25126,ENSG00000170777,TPD52L3,Tdark
25127,ENSG00000147854,UHRF2,Tbio
25128,ENSG00000233367,RP11-307L3.4,NA
25129,ENSG00000178445,GLDC,Tbio
25130,ENSG00000264530,RN7SL25P,NA
25131,ENSG00000237158,RP11-472F14.4,NA
25132,ENSG00000206147,RPL23AP57,NA
25133,ENSG00000236924,RP11-390F4.6,NA
25134,ENSG00000266863,RN7SL123P,NA
25135,ENSG00000229057,RPS3AP54,NA
25136,ENSG00000231381,RNF2P1,NA
25137,ENSG00000232946,RP11-390F4.2,NA
25138,ENSG00000229611,RP11-390F4.10,NA
25139,ENSG00000225489,RP11-390F4.3,NA
25140,ENSG00000231108,PRELID3BP11,NA
25141,ENSG00000256968,SNRPEP2,NA
25142,ENSG00000107077,KDM4C,Tchem
25143,ENSG00000230581,ACTG1P14,NA
25144,ENSG00000224972,RP11-403H13.1,NA
25145,ENSG00000230207,RPL4P5,NA
25146,ENSG00000178654,PPIAP33,NA
25147,ENSG00000273056,RP11-77E14.2,NA
25148,ENSG00000137038,TMEM261,NA
25149,ENSG00000226376,RP11-29B9.1,NA
25150,ENSG00000231902,RP11-29B9.2,NA
25151,ENSG00000153707,PTPRD,Tbio
25152,ENSG00000235389,RP11-134K1.3,NA
25153,ENSG00000212695,RP11-134K1.2,NA
25154,ENSG00000239102,RNU7-185P,NA
25155,ENSG00000225706,PTPRD-AS1,NA
25156,ENSG00000234021,RP11-75C9.2,NA
25157,ENSG00000212829,RPS26P3,NA
25158,ENSG00000265735,RN7SL5P,NA
25159,ENSG00000230920,RP11-527D15.1,NA
25160,ENSG00000234360,RP11-87N24.1,NA
25161,ENSG00000226717,PTPRD-AS2,NA
25162,ENSG00000232035,RP11-87N24.3,NA
25163,ENSG00000227138,RP11-421B23.2,NA
25164,ENSG00000230589,IMP3P1,NA
25165,ENSG00000270372,RP11-109M17.2,NA
25166,ENSG00000234146,AKAP8P1,NA
25167,ENSG00000230365,RP11-23D5.1,NA
25168,ENSG00000275130,RP11-32D4.1,NA
25169,ENSG00000224935,RP11-74C3.1,NA
25170,ENSG00000231491,JKAMPP1,NA
25171,ENSG00000222581,RNU2-47P,NA
25172,ENSG00000107165,TYRP1,Tbio
25173,ENSG00000235448,LURAP1L-AS1,NA
25174,ENSG00000243115,RN7SL849P,NA
25175,ENSG00000153714,LURAP1L,Tdark
25176,ENSG00000222658,Y_RNA,NA
25177,ENSG00000214121,PRDX1P1,NA
25178,ENSG00000234586,RP11-382H24.2,NA
25179,ENSG00000107186,MPDZ,Tbio
25180,ENSG00000234740,RP11-272P10.2,NA
25181,ENSG00000223672,RP11-272P10.3,NA
25182,ENSG00000270547,LINC01235,NA
25183,ENSG00000226197,RP11-536O18.1,NA
25184,ENSG00000205636,LINC00583,NA
25185,ENSG00000229268,PES1P2,NA
25186,ENSG00000235533,RP11-284P20.3,NA
25187,ENSG00000223568,RPL3P11,NA
25188,ENSG00000213954,ATP5HP3,NA
25189,ENSG00000147862,NFIB,Tbio
25190,ENSG00000234982,RP11-280O24.3,NA
25191,ENSG00000225472,RP11-120J1.1,NA
25192,ENSG00000237137,RP11-408A13.2,NA
25193,ENSG00000273399,RP11-408A13.3,NA
25194,ENSG00000272871,RP11-408A13.4,NA
25195,ENSG00000229029,CDCA4P1,NA
25196,ENSG00000175893,ZDHHC21,Tbio
25197,ENSG00000147869,CER1,Tbio
25198,ENSG00000164946,FREM1,Tbio
25199,ENSG00000283647,RP11-265B7.1,NA
25200,ENSG00000199814,RNU6-1260P,NA
25201,ENSG00000214110,LDHAP4,NA
25202,ENSG00000232000,CLCN3P1,NA
25203,ENSG00000215237,RP11-54D18.2,NA
25204,ENSG00000234297,RP11-54D18.4,NA
25205,ENSG00000251960,RNU6-559P,NA
25206,ENSG00000155158,TTC39B,Tbio
25207,ENSG00000215236,RPL7P33,NA
25208,ENSG00000164975,SNAPC3,Tbio
25209,ENSG00000251834,RNU6-319P,NA
25210,ENSG00000164985,PSIP1,Tchem
25211,ENSG00000278754,RP11-518K17.4,NA
25212,ENSG00000240613,RN7SL98P,NA
25213,ENSG00000213362,FTH1P12,NA
25214,ENSG00000207433,RNU6-246P,NA
25215,ENSG00000164989,CCDC171,Tdark
25216,ENSG00000231376,HMGN2P16,NA
25217,ENSG00000207360,RNU6-14P,NA
25218,ENSG00000205549,C9orf92,Tdark
25219,ENSG00000173068,BNC2,Tbio
25220,ENSG00000231756,RP11-183I6.2,NA
25221,ENSG00000230694,RP11-62F24.1,NA
25222,ENSG00000234779,RP11-62F24.2,NA
25223,ENSG00000233551,LSM1P1,NA
25224,ENSG00000237153,RP11-132E11.2,NA
25225,ENSG00000241152,RN7SL720P,NA
25226,ENSG00000226470,RPS29P33,NA
25227,ENSG00000237083,RP11-132E11.4,NA
25228,ENSG00000044459,CNTLN,Tbio
25229,ENSG00000224488,SAMM50P1,NA
25230,ENSG00000107295,SH3GL2,Tbio
25231,ENSG00000228810,PABPC1P11,NA
25232,ENSG00000178031,ADAMTSL1,Tbio
25233,ENSG00000227167,RP11-570H19.2,NA
25234,ENSG00000264638,MIR3152,NA
25235,ENSG00000252960,RN7SKP258,NA
25236,ENSG00000236857,RAP1BP1,NA
25237,ENSG00000155875,SAXO1,Tbio
25238,ENSG00000236680,RP11-296P7.4,NA
25239,ENSG00000155876,RRAGA,Tbio
25240,ENSG00000147874,HAUS6,Tbio
25241,ENSG00000251733,SCARNA8,NA
25242,ENSG00000252943,RNU6-264P,NA
25243,ENSG00000201118,Y_RNA,NA
25244,ENSG00000147872,PLIN2,Tbio
25245,ENSG00000232176,RP11-146N23.1,NA
25246,ENSG00000137145,DENND4C,Tbio
25247,ENSG00000232978,RP11-146N23.4,NA
25248,ENSG00000272842,RP11-513M16.7,NA
25249,ENSG00000273226,RP11-513M16.8,NA
25250,ENSG00000137154,RPS6,Tbio
25251,ENSG00000234853,NDUFA5P3,NA
25252,ENSG00000177076,ACER2,Tchem
25253,ENSG00000260912,RP11-363E7.4,NA
25254,ENSG00000231909,MAP1LC3BP1,NA
25255,ENSG00000155886,SLC24A2,Tbio
25256,ENSG00000232158,C11orf98P1,NA
25257,ENSG00000276667,RP11-471J7.1,NA
25258,ENSG00000261402,RP11-378I6.1,NA
25259,ENSG00000270712,RP11-378I6.2,NA
25260,ENSG00000277711,RP11-378I6.3,NA
25261,ENSG00000237434,RP11-15P13.1,NA
