id,gene_id,description,developmental_type
687,ENSG00000249087,ZNF436-AS1,Tdark
689,ENSG00000204219,TCEA3,Tbio
691,ENSG00000088280,ASAP3,Tbio
692,ENSG00000007968,E2F2,Tbio
694,ENSG00000117318,ID3,Tbio
695,ENSG00000197880,MDS2,Tdark
697,ENSG00000142676,RPL11,Tbio
698,ENSG00000011007,ELOA,Tbio
700,ENSG00000057757,PITHD1,Tdark
701,ENSG00000011009,LYPLA2,Tchem
702,ENSG00000117308,GALE,Tchem
703,ENSG00000117305,HMGCL,Tbio
704,ENSG00000179163,FUCA1,Tchem
705,ENSG00000188822,CNR2,Tchem
710,ENSG00000189266,PNRC2,Tbio
711,ENSG00000188529,SRSF10,Tbio
714,ENSG00000142661,MYOM3,Tbio
716,ENSG00000142677,IL22RA1,Tbio
717,ENSG00000185436,IFNLR1,Tbio
720,ENSG00000158055,GRHL3,Tbio
721,ENSG00000001460,STPG1,Tbio
722,ENSG00000001461,NIPAL3,Tdark
723,ENSG00000117602,RCAN3,Tbio
725,ENSG00000184454,NCMAP,Tbio
728,ENSG00000133226,SRRM1,Tbio
729,ENSG00000169504,CLIC4,Tbio
731,ENSG00000020633,RUNX3,Tbio
739,ENSG00000117614,SYF2,Tbio
740,ENSG00000117616,RSRP1,Tdark
743,ENSG00000187010,RHD,Tbio
746,ENSG00000183726,TMEM50A,Tdark
747,ENSG00000188672,RHCE,Tbio
750,ENSG00000157978,LDLRAP1,Tbio
752,ENSG00000117643,MAN1C1,Tbio
754,ENSG00000162430,SELENON,Tbio
756,ENSG00000117640,MTFR1L,Tdark
757,ENSG00000127423,AUNIP,Tbio
759,ENSG00000182749,PAQR7,Tbio
761,ENSG00000117632,STMN1,Tbio
765,ENSG00000158006,PAFAH2,Tbio
769,ENSG00000158008,EXTL1,Tbio
770,ENSG00000158014,SLC30A2,Tbio
772,ENSG00000158022,TRIM63,Tbio
773,ENSG00000175087,PDIK1L,Tdark
774,ENSG00000197245,FAM110D,Tdark
777,ENSG00000142684,ZNF593,Tbio
778,ENSG00000142675,CNKSR1,Tchem
779,ENSG00000188782,CATSPER4,Tchem
782,ENSG00000130695,CEP85,Tdark
784,ENSG00000142669,SH3BGRL3,Tbio
785,ENSG00000158062,UBXN11,Tbio
786,ENSG00000169442,CD52,Tclin
789,ENSG00000176083,ZNF683,Tbio
790,ENSG00000131914,LIN28A,Tbio
791,ENSG00000117682,DHDDS,Tbio
794,ENSG00000198830,HMGN2,Tbio
796,ENSG00000117676,RPS6KA1,Tchem
805,ENSG00000117713,ARID1A,Tbio
806,ENSG00000060642,PIGV,Tbio
808,ENSG00000204160,ZDHHC18,Tdark
809,ENSG00000175793,SFN,Tbio
810,ENSG00000142751,GPN2,Tdark
811,ENSG00000198746,GPATCH3,Tbio
812,ENSG00000090273,NUDC,Tbio
813,ENSG00000131910,NR0B2,Tchem
814,ENSG00000175707,KDF1,Tbio
818,ENSG00000253368,TRNP1,Tdark
820,ENSG00000090020,SLC9A1,Tchem
826,ENSG00000142784,WDTC1,Tbio
829,ENSG00000186501,TMEM222,Tdark
832,ENSG00000142765,SYTL1,Tbio
833,ENSG00000142733,MAP3K6,Tchem
834,ENSG00000142748,FCN3,Tbio
835,ENSG00000174950,CD164L2,Tdark
837,ENSG00000181773,GPR3,Tchem
838,ENSG00000158195,WASF2,Tbio
841,ENSG00000126705,AHDC1,Tdark
842,ENSG00000000938,FGR,Tchem
845,ENSG00000126709,IFI6,Tbio
850,ENSG00000009780,FAM76A,Tdark
853,ENSG00000117758,STX12,Tbio
857,ENSG00000117751,PPP1R8,Tbio
859,ENSG00000130775,THEMIS2,Tbio
860,ENSG00000117748,RPA2,Tbio
861,ENSG00000130768,SMPDL3B,Tbio
863,ENSG00000158156,XKR8,Tbio
864,ENSG00000158161,EYA3,Tbio
871,ENSG00000169403,PTAFR,Tchem
872,ENSG00000126698,DNAJC8,Tbio
876,ENSG00000130766,SESN2,Tbio
877,ENSG00000130772,MED18,Tbio
878,ENSG00000204138,PHACTR4,Tbio
882,ENSG00000180198,RCC1,Tbio
887,ENSG00000180098,TRNAU1AP,Tbio
888,ENSG00000197989,SNHG12,Tdark
893,ENSG00000120656,TAF12,Tbio
894,ENSG00000188060,RAB42,Tdark
897,ENSG00000162419,GMEB1,Tbio
899,ENSG00000198492,YTHDF2,Tbio
900,ENSG00000116329,OPRD1,Tclin
903,ENSG00000159023,EPB41,Tbio
907,ENSG00000253304,TMEM200B,Tdark
909,ENSG00000116350,SRSF4,Tbio
911,ENSG00000116353,MECR,Tbio
913,ENSG00000060656,PTPRU,Tbio
923,ENSG00000162510,MATN1,Tbio
925,ENSG00000162511,LAPTM5,Tbio
931,ENSG00000162512,SDC3,Tbio
933,ENSG00000134644,PUM1,Tbio
938,ENSG00000084628,NKAIN1,Tdark
939,ENSG00000060688,SNRNP40,Tbio
941,ENSG00000121766,ZCCHC17,Tbio
943,ENSG00000121769,FABP3,Tchem
944,ENSG00000168528,SERINC2,Tbio
951,ENSG00000142910,TINAGL1,Tbio
952,ENSG00000121764,HCRTR1,Tclin
953,ENSG00000162517,PEF1,Tbio
956,ENSG00000084636,COL16A1,Tbio
957,ENSG00000121753,ADGRB2,Tbio
960,ENSG00000134668,SPOCD1,Tdark
963,ENSG00000184007,PTP4A2,Tchem
965,ENSG00000121774,KHDRBS1,Tbio
967,ENSG00000121775,TMEM39B,Tdark
970,ENSG00000025800,KPNA6,Tbio
971,ENSG00000084652,TXLNA,Tbio
972,ENSG00000160050,CCDC28B,Tbio
974,ENSG00000160051,IQCC,Tdark
975,ENSG00000222046,DCDC2B,Tdark
976,ENSG00000160055,TMEM234,Tdark
977,ENSG00000084623,EIF3I,Tbio
979,ENSG00000183615,FAM167B,Tdark
980,ENSG00000182866,LCK,Tclin
983,ENSG00000116478,HDAC1,Tclin
984,ENSG00000175130,MARCKSL1,Tbio
986,ENSG00000162526,TSSK3,Tchem
987,ENSG00000225828,FAM229A,Tdark
988,ENSG00000160058,BSDC1,Tdark
993,ENSG00000273274,ZBTB8B,Tdark
994,ENSG00000160062,ZBTB8A,Tdark
995,ENSG00000176261,ZBTB8OS,Tbio
997,ENSG00000162521,RBBP4,Tbio
998,ENSG00000162520,SYNC,Tbio
1000,ENSG00000162522,KIAA1522,Tdark
1001,ENSG00000134684,YARS,Tchem
1002,ENSG00000116497,S100PBP,Tbio
1003,ENSG00000160097,FNDC5,Tbio
1004,ENSG00000121905,HPCA,Tbio
1005,ENSG00000121900,TMEM54,Tdark
1006,ENSG00000116514,RNF19B,Tbio
1010,ENSG00000004455,AK2,Tbio
1013,ENSG00000142920,AZIN2,Tbio
1015,ENSG00000116525,TRIM62,Tbio
1017,ENSG00000160094,ZNF362,Tdark
1019,ENSG00000184389,A3GALT2,Tdark
1021,ENSG00000134686,PHC2,Tbio
1026,ENSG00000121903,ZSCAN20,Tdark
1028,ENSG00000121904,CSMD2,Tbio
1030,ENSG00000176256,HMGB4,Tbio
1033,ENSG00000142698,C1orf94,Tdark
1036,ENSG00000163866,SMIM12,Tdark
1037,ENSG00000189280,GJB5,Tbio
1038,ENSG00000189433,GJB4,Tbio
1039,ENSG00000188910,GJB3,Tbio
1041,ENSG00000187513,GJA4,Tbio
1043,ENSG00000116544,DLGAP3,Tbio
1045,ENSG00000243749,TMEM35B,Tdark
1046,ENSG00000163867,ZMYM6,Tdark
1048,ENSG00000197056,ZMYM1,Tdark
1050,ENSG00000116560,SFPQ,Tbio
1052,ENSG00000146463,ZMYM4,Tbio
1058,ENSG00000142687,KIAA0319L,Tbio
1060,ENSG00000020129,NCDN,Tbio
1062,ENSG00000116819,TFAP2E,Tbio
1063,ENSG00000126067,PSMB2,Tclin
1064,ENSG00000142686,C1orf216,Tdark
1065,ENSG00000092853,CLSPN,Tbio
1067,ENSG00000134698,AGO4,Tbio
1068,ENSG00000092847,AGO1,Tbio
1070,ENSG00000126070,AGO3,Tbio
1073,ENSG00000092850,TEKT2,Tbio
1074,ENSG00000116863,ADPRHL2,Tbio
1075,ENSG00000171812,COL8A2,Tbio
1076,ENSG00000054116,TRAPPC3,Tbio
1077,ENSG00000116871,MAP7D1,Tdark
1079,ENSG00000054118,THRAP3,Tbio
1081,ENSG00000214193,SH3D21,Tdark
1082,ENSG00000142694,EVA1B,Tdark
1084,ENSG00000196182,STK40,Tbio
1085,ENSG00000181817,LSM10,Tbio
1087,ENSG00000116885,OSCP1,Tbio
1089,ENSG00000116898,MRPS15,Tdark
1090,ENSG00000119535,CSF3R,Tclin
1093,ENSG00000163873,GRIK3,Tclin
1100,ENSG00000163874,ZC3H12A,Tbio
1102,ENSG00000163875,MEAF6,Tbio
